,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,来看可盐可甜可帅可萌大白鹅丞丞啦！！！,0,53,3,6729724998148698612
0,,来看丞丞,0,50,4,6729730508105220079
0,,找完对象找工作，被鹅安排得明明白白,0,53,1,6729733240094126549
0,,来看深深了,0,53,3,6729733556555718662
0,,来看深深的节目了！！,0,50,12,6729733987868282170
0,,这么快,0,50,0,6729734034534416419
0,,为深深而来,0,50,3,6729734070591845562
0,,前排打卡,0,50,1,6729734926704821603
0,,丞丞,0,52,3,6729738604143374551
0,,撒撒炅炅我来啦,0,50,8,6729737865489038486
0,小荣爱吃范,来看范丞丞啦,0,51,15,6729742639412311629
0,,丞丞丞丞，冲冲冲,0,51,11,6729743720025097658
0,,众所周知这个节目叫令人自卑的offer,0,52,22,6729744137039883496
0,,深深深深深深深深深深,0,52,3,6729744284237623974
0,和乐正慧,来看深深宝贝,0,52,1,6729751273572641297
0,,来了来了！！,0,52,0,6729755972812129554
0,,丞丞宝贝我来看你啦,0,54,10,6729756982674705304
0,,范丞丞好帅啊,0,53,2,6729757861090981254
0,星,为周深来啦,0,50,0,6729758957595294832
0,,来啦来啦必须打卡呀,0,54,3,6729760742708855734
0,,范丞丞！！！,0,53,0,6729760766808324036
0,扈阿.,花花来过,3,51,0,6729761513387051120
0,,我怎么又有杨天真,0,54,0,6729763547766078289
0,becausee_,双北啊啊啊啊啊,0,51,1,6729768839024199080
0,,丞丞丞丞[加油][加油],0,54,0,6729768649781396629
0,,我的第一次心动是老公，第二次是丞丞,0,52,1,6729770252792689729
0,,撒撒！！！,0,54,0,6729773377138488775
0,,好久不见，凑熟人,6,52,1,6729785516964214940
0,,感觉何老师没睡好 注意休息啊 崽,0,51,0,6729924024694146139
0,,双北啊，我来了，双北,0,51,2,6729933958182018671
0,,来了,0,51,0,6729989547418481943
0,莫玉骥,bgm：咒术回战op,0,51,0,6729981193808714038
0,XZQ,双北双北！,0,54,2,6729962155236932773
0,🍭Mis Ho 🥔,bgm是《机智的监狱生活》呢,0,54,1,6729946198321934755
0,白龙吟,众所周知这个节目叫令人自卑的offer,3,44,52,6729903536412758975
0,综艺企鹅妹,找完对象找工作，把你安排得明明白白,4,42,834,6729722336742152869
0,,来了,1,43,1,6729720939074275051
0,浮世万千,我的第一次心动是老公，第二次是丞丞,0,43,13,6729723440031529518
0,,黄姐来啦,0,42,1,6729724286447634453
0,,来了来了,2,41,2,6729724456990867367
0,,迟到了！！！,0,41,5,6729724473416105758
0,莹莹,哇 深深！！！,0,44,3,6729724770688420504
0,肥鱼,哈哈哈，提前了,1,40,2,6729723649461861027
0,,周深！！,0,41,1,6729723607103240998
0,Adam豌豆公主,范丞丞观察员我来了,0,42,2,6729725258494319213
0,,丞丞我来啦,0,40,3,6729725856563360821
0,,撒撒撒撒撒撒撒撒！双北！,0,40,7,6729725999980192934
0,,顿时想到那个吸氧表情包,0,43,1,6729725890721412985
0,,双北+徐律，我爱了～,0,40,3,6729726320450146388
0,喵 🐳,深深我来啦！,0,43,1,6729726691876471521
0,,好久不见，凑数人,4,43,3,6729727667765184731
0,,来啦！！！！,0,42,1,6729728219181943838
0,,冲着何老师，小撒，周深来的,0,43,0,6729728394100143593
0,,双北啊，我来了，双北,0,41,5,6729730127996059640
0,,啊啊啊啊双北,0,40,0,6729731380227808509
0,,丞丞丞丞，冲冲冲,0,44,0,6729733427358271992
0,Adam豌豆公主,来看丞丞🍊🍊观察员了,0,41,0,6729738010922335623
0,快乐大白鹅,范丞丞！！,0,44,0,6729739250599227995
0,crystal,双北cp,0,40,0,6729739377544727620
0,,徐律,0,40,1,6729740175850799297
0,,来看丞丞了,0,42,0,6729741707086600289
0,,啊啊啊啊啊啊啊啊啊。我双北,0,41,0,6729742276533696184
0,,为周深来啦,0,42,0,6729743716740267276
0,,范丞丞来了,2,41,0,6729747153255166645
0,,哇哇哇周深深来了,0,40,1,6729744799660220628
0,Coisini.,看第二季啦,0,41,0,6729748952648974199
0,,来了！,0,42,0,6729749348658377194
0,,徐律 徐律！,0,44,5,6729763307990301157
0,linyan~陈,深深,0,42,0,6729766183286012773
0,,来啦来啦～终于来啦～,0,43,1,6729769109846168436
0,,来啦来啦，来看双北和徐律,0,44,0,6729768720777378202
0,,周深，双北，爱了爱了,0,44,1,6729777671141786882
0,,双北cp哈哈哈哈,0,43,0,6729780573331009930
0,,啊啊啊啊啊00姐,0,44,1,6729904691409862055
0,,前排打卡,6,32,0,6729722831481316252
0,,来了来了,1,31,0,6729721649539034496
0,默读,第一第一,3,33,2,6729723448924808887
0,A1🚹 身材走样个肥迎,还没有人知道吗？,5,30,15,6729724510482181229
0,cat,来看周深，周深大宝贝！,0,33,6,6729724160583597596
0,,终于等到你丞丞,0,31,9,6729724949218924768
0,周虹,终于等到啦！,2,34,3,6729725837845184655
0,,范丞丞我来了！,0,33,1,6729726576466002488
0,,丞丞我来了,0,31,4,6729726825455959160
0,,哈哈哈哈哈,0,30,2,6729726909258153197
0,,20:13,0,33,1,6729727238204489473
0,,来啦来啦！！！,0,31,1,6729726987830065850
0,,最近刚好也在面试，虽然我是计算机的~学习一下喽,0,32,3,6729724637929287687
0,,开看丞丞的新综艺了,0,32,2,6729729857602207283
0,,打卡,0,33,1,6729729861662293561
0,,深呐，我来啦,0,33,2,6729733394483621656
0,丞丞的限定女友AKA-大丽,范丞丞俺来啦嘻嘻,0,32,4,6729734820609589736
