,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,竟然是王俊凯,0,42,0,6736488276640860760
0,,丁辉给你加油来了 加油 丁辉,0,40,0,6735789836687569855
0,...,unreal,0,42,0,6735749263939272133
0,, 来啦来啦,0,43,1,6735563533254324495
0,Alice晨,丁辉，冲冲冲,1,44,0,6735494742664522447
0,向日葵,为了周深而来,0,44,2,6735335511079550459
0,向日葵,来看周深周深周深周深周深周深周深,0,41,0,6735335483993738067
0,, 好早嘞,0,42,0,6734922673399823979
0,亦曼曼, 深深深深~~~,0,42,0,6734878408306006041
0,_,丞丞丞丞[亲亲offer],0,44,0,6734825495469782407
0,芜冥,丞丞晋晔秋怡丁辉冲鸭！,0,40,0,6734820727162337019
0,ice,冲冲冲李晋晔令人心动的,0,43,0,6734809912280550567
0,, 4k强啊,0,44,0,6734807017107989726
0,,hyl在看,0,41,0,6734803083739037454
0,Avoy,干饭鹅 : 真不错,4,46,0,6734797715843248675
0,,心雨心露二号 我是沙发,0,46,1,6734797909129360174
0,,干饭鹅 : 来了。,2,47,4,6734798167032919232
0,学不成名誓不还,来啦来啦 准时,1,48,0,6734797502164776830
0,,陈小V在吗,3,49,0,6734797370224214011
0,,加油詹秋怡,2,47,8,6734799378659647668
0,, 干饭了，干饭了,0,47,2,6734799582715738203
0,清,我来了,0,49,1,6734800359648332325
0,,来了来了,0,49,1,6734806071724453438
0,, 有会员真好,0,47,0,6734808937007691080
0,,干饭鹅 : 来了,4,45,3,6734819841448330790
0,, 留个影 然后好好看了,0,47,2,6734852993746220085
0,雨果ꫛꫀꪝ,守着看丞丞大宝贝来的,0,48,1,6734853934922527656
0,,来了来了看深深呀,0,47,0,6734983684757326311
0,offtawin,丁辉加油,0,48,1,6735187594894091791
0,,丞丞我来了,0,45,2,6735773508488592125
0,, 我来啦,0,45,0,6737534163127307792
0,紫陌,史律师，爱你,0,48,0,6734975113311538697
0,一夕一夏,不错,0,46,0,6738636023406239786
0,,只为了你，爱你😁，丞丞丞丞，为你而来,0,47,0,6734809323064014889
0,, 让人自卑的offer,0,45,0,6734810202697645743
0,,前排,1,59,1,6734795378463844383
0,琳,就喜欢这个不准时😁😁😁,1,58,9,6734795612215589933
