,用户名称,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,,灭了他,0,86,0,6745168711817640580
0,, 辉辉走了啊啊啊,0,86,2,6745184505503917712
0,, 宝贝别哭,0,88,0,6745554892011799187
0,门栓,确实是好演员,0,85,0,6745925192679624864
0,,丞哥丞丞丞丞丞丞爱你哦丞丞,0,89,0,6746383312736157907
0,Fanda,我是我,1,73,5,6744942817169309254
0,心之所向,秋怡我来啦,2,72,2,6744953567842869235
0,遥遥,想念辉辉,4,73,4,6744957810125556705
0,,之前都是1.5倍速，现在不那么快了,2,70,3,6745542515240743123
0,x,斯坦福牛皮,4,79,1,6744942684121791682
0,,想念辉哥和瞿总,1,76,16,6744964947086088361
0,稳,干饭鹅 : 谭律师爱了爱了,1,77,3,6744976919148043626
0,,看好晋晔！,0,79,0,6745166515252955819
0,,干饭鹅 : 我建议考研的兄弟姐妹还是去复习，考完再看哈哈,3,78,10,6745196214247428258
0,,我现在在去北京的列车上观看节目 北京我来了,0,76,2,6745244156894392617
0,,没有辉哥的第一天π_π,0,79,1,6745301437665263089
0,小葛,辉哥，辉哥，辉哥,0,78,0,6745508885294511894
0,,第一,4,65,0,6744944349681266152
0,,干饭鹅 : 在等外卖,4,69,3,6744944841094006397
0,,干饭鹅 : wmx   看弹幕,5,68,0,6744953716585202515
0,陌上人小锋,来了来了！！！又开了个月VIP！！李晋晔加油！！,1,66,12,6744964349673635453
0,,草哥,0,65,1,6744964748040223324
0,,彭佳在看吗,1,60,8,6744941165419199391
0,阿那个若呀~,吃了么,0,60,2,6744942143708056287
0,, 来看李晋晔的！,0,60,1,6744947002746323757
0,, 期末人在补作业,0,60,1,6744984355320561583
0,じ婷丶,我来了,6,62,1,6745185547892324948
0,木兰,来啦,0,64,0,6745305848647024177
0,,片头还没换,2,64,0,6745883343793400754
0,J,来了,2,115,1,6744943513022473165
0,Johnny,硬气一点,0,115,0,6744944732889663606
0,刘琳,以为会换新片头呢,1,116,16,6744943868123478619
0,,干饭鹅 : 果然打工人不是这么容易逆袭的,1,118,10,6744945997245514771
0,x,在现实中真的有这种同事吗？,0,115,2,6744942832102084456
0,,有人吗,2,117,0,6744946404261078572
0,w~h~e~🥩~e,等等，片头不会是淘汰顺序吧.....,0,116,11,6744955981144457783
0,南潇,片头没换爷青回,3,119,5,6744961074588742892
0,, 别急，我来了,0,119,2,6744975194135397602
0,歲仴如歌,我看那个王骁面相一点都不好,0,117,1,6744973351627276026
0,,来了来了来了,0,118,1,6744981755679723097
0,是非在几，毁誉由人, 片头没换哈哈哈,0,116,4,6744987737084336838
0,, 这片头大制作呀,0,119,1,6745043702517318463
0,,干饭鹅 : 辉哥好可惜,0,118,0,6745195397078252085
0,,片头还没换，太棒了,0,115,7,6745221523835392094
0,Angela-J🔥,我还以为没人,0,117,1,6745254460475773580
0,,啊啊啊，我的片头没有变,0,119,0,6745268606939102373
0,Runa,果然没人了,0,115,0,6745284777240669412
0,,说明逆袭正能在电视剧里看,0,116,1,6745317096861145494
0,,王姐，凡起来,0,117,1,6745334393780504452
0,,真心喜欢不起来 刚来的那个男的,0,117,3,6745361238001689524
0,, 没有丁辉的第一期,0,118,0,6745625412488068796
0,哄哄,来了来了,0,109,1,6744942941242377198
0,,人好少,4,106,0,6744943963469716396
0,,来个来了,1,108,1,6744943117591883599
0,zm丶小幺,来喽来喽,0,108,2,6744946933413477622
0,牛头岗,果然没人了,0,109,6,6744948815263102037
0,,范丞丞姐姐来看你啦,6,107,6,6744949293968726622
0,L.Q,啊啊啊，我的片头没有变,0,106,10,6744955656228818728
0,Alexander S,李晋晔给爷冲！！,0,109,7,6744956597124139632
0,,片头没换爷青回,3,105,15,6744977539787628860
0,浅夏微凉,干饭鹅 : 辉辉走了啊啊啊,0,108,1,6745232242650937058
0,予,片头还没换，太棒了,0,109,4,6745312454600324184
0,,干饭鹅 : 辉哥好可惜,0,105,0,6745472880050978202
0,, 刘梦月快看,0,106,0,6745611325604827212
